red_fighter,blue_fighter,snapshot_date,winner,age_diff,height_diff,reach_diff,experience_diff,wins_diff,losses_diff,win_rate_diff,win_streak_diff,lose_streak_diff,momentum_diff,ko_rate_diff,submission_rate_diff,decision_rate_diff,fight_time_diff,sig_strike_diff,takedown_diff,submission_attempt_diff
Amanda Lemos,Gillian Robertson,2026-03-14,Blue,9.0,-2.539999999999992,5.079999999999984,-5.0,-4.0,-1.0,-0.041000000000000036,-4.0,1.0,-5.0,0.10200000000000001,-0.31600000000000006,0.213,90.12,0.040000000000000036,-1.7399999999999998,-0.20000000000000007
Andre Fili,Jose Delgado,2026-03-14,Blue,8.0,0.0,0.0,21.0,11.0,10.0,-0.125,1.0,-1.0,2.0,-0.692,0.0,0.692,265.35,-3.6000000000000005,0.8099999999999998,0.2
Marwan Rahiki,Harry Hardwick,2026-03-14,Red,-7.0,0.0,2.539999999999992,-1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-201.0,-5.47,0.0,0.0
Ion Cutelaba,Oumar Sy,2026-03-14,Red,2.0,-7.6200000000000045,-20.319999999999993,14.0,5.0,9.0,-0.306,-1.0,1.0,-2.0,0.16699999999999998,-0.20800000000000002,0.04199999999999998,-96.49000000000001,0.8200000000000003,1.3099999999999996,-0.09999999999999998
Charles Johnson,Bruno Silva,2026-03-14,Red,0.0,12.699999999999989,12.700000000000017,-8.0,-2.0,-6.0,0.10900000000000004,-1.0,1.0,-2.0,-0.34900000000000003,-0.222,0.571,157.75,0.8199999999999994,-1.4999999999999998,0.09999999999999998
Chris Curtis,Myktybek Orolbai,2026-03-14,Blue,10.0,0.0,2.539999999999992,5.0,2.0,3.0,-0.20000000000000007,-1.0,0.0,-1.0,0.25,-0.5,0.25,246.69999999999993,2.7399999999999998,-8.77,-0.5
Vitor Petrino,Steven Asplund,2026-03-14,Red,1.0,-7.6200000000000045,-2.539999999999992,7.0,5.0,2.0,-0.25,1.0,0.0,1.0,-0.667,0.333,0.333,72.38,-6.8100000000000005,2.6,0.7
Elijah Smith,SuYoung You,2026-03-14,Red,-7.0,7.6200000000000045,15.240000000000009,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.5,0.0,-0.5,-325.0,2.03,-1.2799999999999998,0.7000000000000001
Bolaji Oki,Manoel Sousa,2026-03-14,Blue,1.0,2.5400000000000205,7.619999999999976,4.0,2.0,2.0,0.5,0.0,1.0,-1.0,0.0,0.0,1.0,628.0,6.42,1.02,0.0
Brad Tavares,Eryk Anders,2026-03-14,Blue,-1.0,0.0,-2.539999999999992,9.0,7.0,2.0,0.09299999999999997,0.0,0.0,0.0,-0.43100000000000005,0.0,0.36800000000000005,37.65000000000009,-0.029999999999999805,-1.1300000000000001,-0.1
Bia Mesquita,Montse Rendon,2026-03-14,Red,-2.0,-10.159999999999997,-2.539999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-466.0,2.83,2.8999999999999995,2.9000000000000004
Luan Lacerda,Hecher Sosa,2026-03-14,Blue,2.0,-5.079999999999984,2.539999999999992,3.0,1.0,2.0,0.333,1.0,0.0,1.0,0.0,1.0,0.0,656.33,4.06,2.82,0.6
Piera Rodriguez,Sam Hughes,2026-03-14,Red,-1.0,-5.079999999999984,-2.539999999999992,-5.0,-2.0,-3.0,0.122,-1.0,0.0,-1.0,-0.167,-0.167,0.33299999999999996,-62.72000000000003,-0.3700000000000001,2.92,-0.2
Max Holloway,Charles Oliveira,2026-03-07,Blue,-2.0,2.539999999999992,-12.700000000000017,-4.0,-1.0,-3.0,0.05599999999999994,0.0,0.0,0.0,0.31099999999999994,-0.621,0.31,523.76,3.68,-2.06,-2.3000000000000003
Caio Borralho,Reinier de Ridder,2026-03-07,Red,-3.0,-7.6200000000000045,-7.6200000000000045,3.0,3.0,0.0,0.07499999999999996,0.0,0.0,0.0,-0.10700000000000001,-0.357,0.46399999999999997,123.77999999999997,1.0,-1.31,-0.19999999999999996
Rob Font,Raul Rosas Jr.,2026-03-07,Blue,18.0,-2.539999999999992,10.159999999999997,14.0,7.0,7.0,-0.23299999999999998,-4.0,1.0,-5.0,0.3,-0.317,0.01699999999999996,221.05999999999995,3.7700000000000005,-5.3999999999999995,-0.6000000000000001
Drew Dober,Michael Johnson,2026-03-07,Red,-3.0,-5.0800000000000125,-7.619999999999976,-6.0,-2.0,-4.0,0.04400000000000004,-2.0,0.0,-2.0,0.33899999999999997,0.071,-0.41100000000000003,-200.93,0.21000000000000085,0.040000000000000036,0.1
Gregory Rodrigues,Brunno Ferreira,2026-03-07,Red,0.0,12.699999999999989,7.6200000000000045,4.0,3.0,1.0,0.0,-1.0,0.0,-1.0,0.16700000000000004,-0.333,0.166,148.58000000000004,1.7600000000000002,0.6499999999999999,-0.4
Cody Garbrandt,Xiao Long,2026-03-07,Red,6.0,0.0,-12.700000000000017,13.0,8.0,5.0,0.22900000000000004,0.0,1.0,-1.0,-0.33299999999999996,0.0,0.333,-286.93000000000006,-2.2699999999999996,0.10999999999999999,0.0
Donte Johnson,Cody Brundage,2026-03-07,Red,-5.0,-10.159999999999997,5.0800000000000125,-12.0,-4.0,-7.0,0.583,1.0,-2.0,3.0,-0.6,0.8,0.0,-83.14999999999998,0.8500000000000001,0.1200000000000001,0.19999999999999996
