red_fighter,blue_fighter,snapshot_date,winner,age_diff,height_diff,reach_diff,experience_diff,wins_diff,losses_diff,win_rate_diff,win_streak_diff,lose_streak_diff,momentum_diff,ko_rate_diff,submission_rate_diff,decision_rate_diff,fight_time_diff,sig_strike_diff,takedown_diff,submission_attempt_diff
Alex Pereira,Khalil Rountree Jr.,2024-10-05,Red,3.0,7.6200000000000045,7.6200000000000045,-5.0,-1.0,-4.0,0.246,-1.0,0.0,-1.0,-0.028000000000000025,0.0,0.027999999999999997,174.85000000000002,1.62,0.14,0.19999999999999998
Raquel Pennington,Julianna Pena,2024-10-05,Blue,3.0,2.5400000000000205,-5.079999999999984,8.0,6.0,2.0,0.02200000000000002,6.0,-1.0,7.0,-0.286,-0.054999999999999966,0.34,158.93999999999994,0.9799999999999995,-1.04,-0.10000000000000009
Jose Aldo,Mario Bautista,2024-10-05,Blue,7.0,-5.079999999999984,2.5400000000000205,11.0,6.0,5.0,-0.133,-5.0,0.0,-5.0,0.16099999999999998,-0.375,0.21399999999999997,465.15,-2.0700000000000003,-1.76,-0.9
Roman Dolidze,Kevin Holland,2024-10-05,Red,4.0,-2.539999999999992,-12.700000000000017,-11.0,-6.0,-5.0,0.08099999999999996,0.0,0.0,0.0,0.26299999999999996,-0.385,0.19799999999999998,64.71000000000004,-1.08,0.5000000000000001,0.5000000000000001
Ketlen Vieira,Kayla Harrison,2024-10-05,Blue,-2.0,0.0,5.0800000000000125,10.0,7.0,3.0,-0.273,0.0,0.0,0.0,0.0,-0.875,0.875,520.44,-4.4799999999999995,-2.91,-1.6
Stephen Thompson,Joaquin Buckley,2024-10-05,Blue,10.0,5.079999999999984,-2.539999999999992,6.0,3.0,3.0,-0.05999999999999994,-4.0,1.0,-5.0,-0.16700000000000004,0.0,0.16699999999999998,88.88000000000011,-0.019999999999999574,-1.7,0.0
Marina Rodriguez,Iasmin Lucindo,2024-10-05,Blue,14.0,7.619999999999976,-2.539999999999992,7.0,4.0,3.0,-0.11399999999999999,-3.0,1.0,-4.0,0.286,-0.333,0.04699999999999993,85.16999999999996,1.3000000000000003,-2.17,0.0
Austin Hubbard,Alexander Hernandez,2024-10-05,Blue,1.0,2.5400000000000205,-2.539999999999992,-4.0,-2.0,-2.0,-0.018000000000000016,1.0,-2.0,3.0,-0.25,0.0,0.25,188.40999999999997,-0.20999999999999996,0.48,-0.1
Cesar Almeida,Ihor Potieria,2024-10-05,Red,9.0,-5.0800000000000125,-2.539999999999992,-4.0,-1.0,-3.0,0.16699999999999998,0.0,0.0,0.0,0.5,0.0,-0.5,266.83,-0.4500000000000002,-0.77,0.3
Ryan Spann,Ovince Saint Preux,2024-10-05,Red,-8.0,5.0800000000000125,-2.539999999999992,-15.0,-8.0,-7.0,0.026999999999999913,-1.0,3.0,-4.0,0.02899999999999997,-0.04700000000000004,0.08599999999999997,-117.18999999999994,0.27,0.21999999999999997,1.2
Carla Esparza,Tecia Pennington,2024-10-05,Blue,1.0,0.0,7.6200000000000045,13.0,9.0,4.0,0.643,0.0,0.0,0.0,0.111,0.111,0.778,-39.91999999999996,-2.66,2.6500000000000004,0.19999999999999998
Court McGee,Tim Means,2024-10-05,Red,-1.0,-7.6200000000000045,0.0,-6.0,-5.0,-1.0,-0.08100000000000002,0.0,2.0,-2.0,-0.4,0.067,0.4,176.08000000000004,-0.4400000000000004,0.7000000000000002,0.2
Renato Moicano,Benoit Saint Denis,2024-09-28,Red,6.0,0.0,-2.539999999999992,9.0,6.0,3.0,-0.026000000000000023,3.0,-1.0,4.0,-0.509,0.14500000000000002,0.364,154.66999999999996,-1.3200000000000003,-2.87,-0.9
Nassourdine Imavov,Brendan Allen,2024-09-28,Red,1.0,2.539999999999992,0.0,-6.0,-6.0,0.0,-0.10699999999999998,-5.0,0.0,-5.0,0.417,-0.583,0.16699999999999998,338.1600000000001,0.5299999999999998,-0.86,-0.19999999999999996
William Gomis,Joanderson Brito,2024-09-28,Red,-3.0,10.159999999999997,2.539999999999992,-3.0,-2.0,-1.0,0.16700000000000004,-2.0,0.0,-2.0,-0.26699999999999996,-0.4,0.667,465.66999999999996,-0.3999999999999999,-2.02,-0.20000000000000007
Kevin Jousset,Bryan Battle,2024-09-28,Blue,1.0,2.5400000000000205,-5.0800000000000125,-4.0,-3.0,-1.0,0.16700000000000004,0.0,0.0,0.0,-0.4,0.09999999999999998,0.3,117.0,3.710000000000001,0.3899999999999999,0.20000000000000007
Morgan Charriere,Gabriel Miranda,2024-09-28,Red,-5.0,-7.6200000000000045,-5.0800000000000125,0.0,0.0,0.0,0.0,-1.0,1.0,-2.0,1.0,-1.0,0.0,378.0,0.45999999999999996,-3.21,-1.5999999999999999
Fares Ziam,Matt Frevola,2024-09-28,Red,-7.0,10.159999999999997,10.159999999999997,-1.0,0.0,-1.0,0.08899999999999997,3.0,-1.0,4.0,-0.6,0.0,0.6,415.97,-1.0099999999999998,-1.7799999999999998,-0.7
Ion Cutelaba,Ivan Erslan,2024-09-28,Red,-2.0,-2.5400000000000205,7.6200000000000045,15.0,6.0,9.0,0.4,0.0,1.0,-1.0,0.667,0.0,0.333,441.79,4.44,4.17,0.0
Oumar Sy,Da Woon Jung,2024-09-28,Red,-1.0,0.0,12.699999999999989,-3.0,0.0,-3.0,0.75,1.0,-3.0,4.0,-1.0,1.0,0.0,-318.5,1.3199999999999994,1.31,0.6000000000000001
Ludovit Klein,Roosevelt Roberts,2024-09-28,Red,0.0,-17.78,-2.539999999999992,-1.0,2.0,-3.0,0.306,5.0,-4.0,9.0,0.333,-0.5,0.16700000000000004,179.16999999999996,0.7600000000000002,0.31000000000000005,-0.9
Taylor Lapilus,Vince Morales,2024-09-28,Red,0.0,-7.6200000000000045,7.619999999999976,-1.0,2.0,-3.0,0.33899999999999997,1.0,-2.0,3.0,-0.333,0.0,0.133,138.88,0.41999999999999993,0.13,0.3
Ailin Perez,Daria Zhelezniakova,2024-09-28,Red,1.0,-10.159999999999997,-5.0800000000000125,3.0,2.0,1.0,-0.25,2.0,0.0,2.0,0.0,0.0,0.0,-76.5,-0.96,5.36,0.3
Daniel Barez,Victor Altamirano,2024-09-28,Red,1.0,-5.0800000000000125,-10.160000000000025,-4.0,-2.0,-2.0,-0.4,0.0,-1.0,1.0,-0.5,0.0,-0.5,-557.8,-0.75,0.6400000000000001,1.6
Nora Cornolle,Jacqueline Cavalcanti,2024-09-28,Blue,8.0,-2.539999999999992,-7.6200000000000045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.5,-207.0,-2.7299999999999995,0.0,0.0
Bolaji Oki,Chris Duncan,2024-09-28,Blue,-2.0,0.0,5.079999999999984,-2.0,-1.0,-1.0,0.33299999999999996,1.0,-1.0,2.0,0.0,0.0,0.0,264.66999999999996,0.2999999999999998,-3.0100000000000002,0.0
Sean O'Malley,Merab Dvalishvili,2024-09-14,Blue,-4.0,12.700000000000017,10.159999999999997,-1.0,0.0,-1.0,0.07600000000000007,-4.0,0.0,-4.0,0.5,0.0,-0.5,-266.28,3.13,-6.08,0.0
Alexa Grasso,Valentina Shevchenko,2024-09-14,Blue,-5.0,0.0,0.0,-4.0,-4.0,0.0,-0.07300000000000006,5.0,-1.0,6.0,-0.333,0.08299999999999999,0.125,-215.0200000000001,1.3900000000000001,-2.15,0.19999999999999996
Brian Ortega,Diego Lopes,2024-09-14,Blue,4.0,-7.6200000000000045,-7.6200000000000045,6.0,4.0,2.0,-0.07300000000000006,-3.0,0.0,-3.0,-0.125,0.25,-0.125,344.70000000000005,-0.1299999999999999,0.6699999999999999,-1.5999999999999999
Daniel Zellhuber,Esteban Ribovics,2024-09-14,Blue,-4.0,7.619999999999976,20.32000000000002,1.0,1.0,0.0,0.08299999999999996,1.0,0.0,1.0,-0.5,0.333,0.16700000000000004,189.16999999999996,-1.67,-0.42000000000000004,-0.09999999999999998
Ronaldo Rodriguez,Ode Osbourne,2024-09-14,Red,-8.0,-2.5400000000000205,-20.319999999999993,-6.0,-2.0,-4.0,0.571,1.0,-2.0,3.0,-0.333,1.0,-0.667,158.70999999999998,-1.46,-0.07000000000000006,1.6
Irene Aldana,Norma Dumont,2024-09-14,Blue,2.0,5.079999999999984,2.539999999999992,4.0,1.0,3.0,-0.16300000000000003,-3.0,0.0,-3.0,0.375,0.125,-0.5,-61.370000000000005,2.1300000000000003,-1.75,0.2
Manuel Torres,Ignacio Bahamondes,2024-09-14,Blue,2.0,-12.699999999999989,-5.0800000000000125,-3.0,-1.0,-2.0,0.33299999999999996,2.0,0.0,2.0,0.16700000000000004,0.08300000000000002,-0.25,-580.8,0.9900000000000002,3.26,1.2000000000000002
Yazmin Jauregui,Ketlen Souza,2024-09-14,Blue,-5.0,0.0,2.539999999999992,2.0,2.0,0.0,0.25,0.0,0.0,0.0,0.333,0.0,-0.33299999999999996,89.0,1.1499999999999995,-0.76,-0.8
Edgar Chairez,Joshua Van,2024-09-14,Blue,6.0,5.0800000000000125,15.240000000000009,-2.0,-2.0,0.0,-0.25,1.0,-1.0,2.0,-0.333,1.0,-0.667,-229.25,-5.700000000000001,-1.62,1.7
Raul Rosas Jr.,Aoriqileng,2024-09-14,Red,-11.0,5.079999999999984,-5.079999999999984,-1.0,0.0,-1.0,0.15000000000000002,1.0,0.0,1.0,0.0,0.667,-0.667,-196.39999999999998,-3.76,2.5699999999999994,1.3
Gilbert Burns,Sean Brady,2024-09-07,Blue,6.0,0.0,-2.539999999999992,15.0,9.0,6.0,-0.17499999999999993,-1.0,2.0,-3.0,0.2,-0.16699999999999998,-0.032999999999999974,2.269999999999982,-0.48,-1.0499999999999998,-0.7
Jessica Andrade,Natalia Silva,2024-09-07,Blue,5.0,-7.6200000000000045,-7.6200000000000045,22.0,12.0,10.0,-0.37,-3.0,0.0,-3.0,-0.04700000000000004,0.176,-0.129,-113.75,2.09,1.87,0.3
Steve Garcia,Kyle Nelson,2024-09-07,Red,0.0,2.539999999999992,10.159999999999997,-1.0,1.0,-2.0,0.21399999999999997,1.0,0.0,1.0,0.5,0.0,-0.5,-277.84999999999997,1.3900000000000001,0.06999999999999984,0.0
Matt Schnell,Cody Durden,2024-09-07,Blue,1.0,2.539999999999992,7.6200000000000045,4.0,1.0,3.0,-0.09400000000000003,0.0,0.0,0.0,-0.2,0.5,-0.30000000000000004,-209.12,0.8800000000000003,-3.7700000000000005,0.09999999999999998
Trevor Peek,Yanal Ashmouz,2024-09-07,Blue,1.0,0.0,5.0800000000000125,2.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.5,262.25,1.5,0.9,0.0
Rongzhu,Chris Padilla,2024-09-07,Blue,-7.0,0.0,-5.0800000000000125,0.0,-1.0,1.0,-1.0,-1.0,1.0,-2.0,0.0,-1.0,0.0,427.0,-0.33000000000000007,-1.17,-0.9000000000000001
Isaac Dulgarian,Brendon Marotte,2024-09-07,Red,0.0,-5.079999999999984,2.539999999999992,1.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,574.0,-0.1200000000000001,6.06,1.5
Felipe dos Santos,Andre Lima,2024-09-07,Blue,-2.0,0.0,7.6200000000000045,0.0,-1.0,1.0,-0.5,-1.0,0.0,-1.0,0.0,0.0,0.5,214.0,1.5000000000000004,-1.13,-0.6000000000000001
Yizha,Gabriel Santos,2024-09-07,Blue,0.0,-5.079999999999984,2.539999999999992,-1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,173.5,-1.6400000000000001,0.20999999999999996,0.19999999999999996
Jaqueline Amorim,Vanessa Demopoulos,2024-09-07,Red,-7.0,2.5400000000000205,22.859999999999985,-4.0,-3.0,-1.0,-0.04699999999999993,0.0,0.0,0.0,0.5,0.3,-0.8,-185.80999999999995,-0.54,1.07,4.9
Andre Petroski,Dylan Budka,2024-09-07,Red,9.0,0.0,-5.0800000000000125,7.0,6.0,1.0,0.75,1.0,-1.0,2.0,0.167,0.333,0.5,174.38,1.73,0.5300000000000002,1.0
Zygimantas Ramaska,Nathan Fletcher,2024-09-07,Blue,1.0,10.159999999999997,2.539999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jared Cannonier,Caio Borralho,2024-08-24,Blue,9.0,-5.079999999999984,5.0800000000000125,11.0,4.0,7.0,-0.41200000000000003,-6.0,1.0,-7.0,0.43299999999999994,-0.167,-0.267,39.58000000000004,0.8800000000000003,-1.1400000000000001,-0.5
Angela Hill,Tabatha Ricci,2024-08-24,Blue,10.0,5.0800000000000125,7.6200000000000045,18.0,7.0,11.0,-0.23399999999999999,1.0,0.0,1.0,0.167,-0.117,-0.133,48.710000000000036,0.8300000000000001,-2.2300000000000004,0.0
Robert Valentin,Ryan Loder,2024-08-24,Blue,-4.0,0.0,2.5400000000000205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaan Ofli,Mairon Santos,2024-08-24,Blue,7.0,0.0,-15.240000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neil Magny,Michael Morales,2024-08-24,Blue,12.0,7.6200000000000045,2.539999999999992,28.0,18.0,10.0,-0.31200000000000006,-3.0,0.0,-3.0,-0.273,0.136,0.04500000000000004,49.07000000000005,-1.98,0.99,0.2
Edmen Shahbazyan,Gerald Meerschaert,2024-08-24,Blue,-10.0,5.0800000000000125,-5.0800000000000125,-10.0,-5.0,-5.0,0.04999999999999993,0.0,0.0,0.0,0.5760000000000001,-0.6509999999999999,0.167,-131.06999999999994,0.6400000000000001,-0.13000000000000034,-1.1
Dennis Buzukja,Francis Marshall,2024-08-24,Blue,2.0,0.0,-5.079999999999984,0.0,0.0,0.0,0.0,1.0,-2.0,3.0,0.0,0.0,0.0,3.0,0.52,-2.0500000000000003,-0.3
Zachary Reese,Jose Daniel Medina,2024-08-24,Red,-3.0,10.159999999999997,7.6200000000000045,2.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,64.5,5.06,4.08,2.5
Viacheslav Borshchev,James Llontop,2024-08-24,Red,8.0,-2.539999999999992,-10.159999999999997,4.0,2.0,2.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,319.79999999999995,0.020000000000000462,0.0,0.0
Jacqueline Cavalcanti,Josiane Nunes,2024-08-24,Red,-4.0,15.240000000000009,7.6200000000000045,-3.0,-2.0,-1.0,0.25,1.0,-1.0,2.0,-0.333,0.0,0.33299999999999996,151.5,1.8200000000000003,0.0,0.0
Wang Cong,Victoria Leonardo,2024-08-24,Red,-1.0,2.539999999999992,5.079999999999984,-4.0,-1.0,-3.0,-0.25,0.0,-1.0,1.0,0.0,0.0,-1.0,-559.33,-3.22,-1.57,0.0
Dricus Du Plessis,Israel Adesanya,2024-08-17,Red,-4.0,-7.6200000000000045,-10.159999999999997,-9.0,-6.0,-3.0,0.18799999999999994,7.0,-1.0,8.0,0.18599999999999994,0.143,-0.329,-339.68999999999994,2.1799999999999997,2.99,0.8
Kai Kara-France,Steve Erceg,2024-08-17,Red,2.0,-10.159999999999997,2.539999999999992,5.0,3.0,2.0,-0.08299999999999996,0.0,1.0,-1.0,0.0,0.0,0.0,-24.360000000000014,0.1899999999999995,-0.5499999999999999,-0.5
Mateusz Gamrot,Dan Hooker,2024-08-17,Blue,0.0,-5.079999999999984,-12.699999999999989,-12.0,-6.0,-6.0,0.15900000000000003,1.0,0.0,1.0,-0.10900000000000004,-0.01100000000000001,0.121,120.04999999999995,-1.8000000000000003,4.52,-0.19999999999999998
Tai Tuivasa,Jairzinho Rozenstruik,2024-08-17,Blue,-4.0,0.0,-7.6200000000000045,2.0,0.0,2.0,-0.08199999999999996,-1.0,4.0,-5.0,-0.125,0.0,0.125,11.939999999999998,0.020000000000000018,0.0,0.0
Li Jingliang,Carlos Prates,2024-08-17,Blue,4.0,-2.539999999999992,-17.78,14.0,8.0,6.0,-0.375,-2.0,1.0,-3.0,-0.8,0.0,0.0,143.0,-0.25,1.19,0.0
Junior Tafa,Valter Walker,2024-08-17,Blue,1.0,-7.6200000000000045,-7.6200000000000045,2.0,1.0,1.0,0.333,0.0,0.0,0.0,1.0,0.0,0.0,-447.33,-0.19000000000000017,-4.52,-0.8
Josh Culibao,Ricardo Ramos,2024-08-17,Blue,1.0,2.5400000000000205,2.539999999999992,-7.0,-4.0,-3.0,0.017000000000000015,0.0,0.0,0.0,-0.286,0.19000000000000003,0.09600000000000009,293.23,0.38000000000000034,-2.77,-0.5
Casey O'Neill,Luana Santos,2024-08-17,Red,2.0,0.0,5.079999999999984,3.0,1.0,2.0,-0.33299999999999996,-3.0,2.0,-5.0,0.16699999999999998,-0.08300000000000002,-0.08300000000000002,265.12999999999994,3.6099999999999994,-0.17000000000000015,-0.5
Jack Jenkins,Herbert Burns,2024-08-17,Red,-7.0,-5.079999999999984,-12.699999999999989,-2.0,0.0,-2.0,0.267,0.0,-2.0,2.0,-0.5,-0.5,1.0,498.08000000000004,2.9699999999999998,-0.8199999999999998,-1.8
Tom Nolan,Alex Reyes,2024-08-17,Red,-12.0,10.159999999999997,0.0,0.0,1.0,-1.0,0.5,1.0,-2.0,3.0,1.0,0.0,0.0,-2.0,2.2199999999999998,-1.5,0.7
Song Kenan,Ricky Glenn,2024-08-17,Red,-1.0,0.0,2.539999999999992,6.0,4.0,2.0,0.22300000000000003,0.0,-1.0,1.0,-1.0,0.0,0.2,791.33,0.7800000000000002,-0.29,-0.4
Stewart Nicoll,Jesus Aguilar,2024-08-17,Blue,2.0,2.539999999999992,7.6200000000000045,-3.0,-2.0,-1.0,-0.667,-2.0,0.0,-2.0,-0.5,0.0,-0.5,-392.33,-1.46,-1.75,-1.8
Marcin Tybura,Serghei Spivac,2024-08-10,Blue,10.0,0.0,0.0,8.0,5.0,3.0,-0.0040000000000000036,1.0,-1.0,2.0,-0.09599999999999997,-0.20299999999999996,0.297,203.14999999999998,0.06000000000000005,-3.21,-0.6
Damon Jackson,Chepe Mariscal,2024-08-10,Blue,4.0,10.159999999999997,5.0800000000000125,7.0,3.0,4.0,-0.4,-2.0,0.0,-2.0,-0.166,0.333,-0.16700000000000004,-114.08000000000004,-1.85,-0.75,0.8999999999999999
Danny Barlow,Nikolay Veretennikov,2024-08-10,Red,-6.0,2.5400000000000205,10.159999999999997,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,678.0,5.72,0.0,0.0
Chris Gutierrez,Quang Le,2024-08-10,Red,0.0,7.6200000000000045,-7.6200000000000045,11.0,8.0,3.0,0.727,0.0,1.0,-1.0,0.375,0.0,0.625,769.4,4.72,0.26,0.1
Yana Santos,Chelsea Chandler,2024-08-10,Red,0.0,-5.0800000000000125,0.0,-1.0,-2.0,1.0,-0.667,-1.0,2.0,-3.0,-0.5,0.0,-0.5,215.0,0.8900000000000001,0.05999999999999994,0.1
Toshiomi Kazama,Charalampos Grigoriou,2024-08-10,Red,-5.0,0.0,5.079999999999984,1.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,-755.5,-0.9000000000000001,-0.9400000000000002,0.6
Karol Rosa,Pannie Kianzad,2024-08-10,Red,-4.0,-5.0800000000000125,2.5400000000000205,-2.0,0.0,-2.0,0.125,0.0,-1.0,1.0,0.0,0.0,0.0,126.11000000000001,1.6100000000000003,0.79,-0.1
Jhonata Diniz,Karl Williams,2024-08-10,Red,-2.0,2.539999999999992,0.0,-2.0,-2.0,0.0,0.0,-2.0,0.0,-2.0,1.0,0.0,-1.0,-468.0,1.4099999999999997,-4.2,-0.2
Youssef Zalal,Jarno Errens,2024-08-10,Red,-2.0,-2.539999999999992,-2.539999999999992,3.0,2.0,1.0,0.16699999999999998,0.0,0.0,0.0,0.0,0.333,-0.667,-163.33000000000004,-0.41999999999999993,2.33,1.0999999999999999
Stephanie Luciano,Talita Alencar,2024-08-10,Red,-9.0,12.699999999999989,17.78,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-900.0,-2.49,-2.0,0.0
Cory Sandhagen,Umar Nurmagomedov,2024-08-03,Blue,3.0,7.6200000000000045,2.5400000000000205,8.0,5.0,3.0,-0.23099999999999998,-2.0,0.0,-2.0,0.3,-0.30000000000000004,0.0,357.42999999999995,0.5599999999999996,-2.79,-0.10000000000000003
Shara Magomedov,Michal Oleksiejczuk,2024-08-03,Red,1.0,5.0800000000000125,-2.5400000000000205,-11.0,-5.0,-6.0,0.46199999999999997,2.0,-2.0,4.0,-0.357,0.0,0.357,559.23,1.7400000000000002,-1.08,0.0
Marlon Vera,Deiveson Figueiredo,2024-08-03,Blue,-5.0,7.6200000000000045,5.0800000000000125,9.0,4.0,5.0,-0.134,-2.0,1.0,-3.0,0.194,-0.09699999999999998,-0.16399999999999998,111.27999999999997,1.2599999999999998,-1.17,-0.8
Tony Ferguson,Michael Chiesa,2024-08-03,Blue,4.0,-5.079999999999984,2.539999999999992,5.0,4.0,1.0,0.041000000000000036,0.0,4.0,-4.0,0.333,-0.14500000000000002,-0.188,164.37,3.05,-2.96,-0.09999999999999998
Mackenzie Dern,Loopy Godinez,2024-08-03,Red,0.0,5.0800000000000125,5.0800000000000125,2.0,1.0,1.0,-0.02100000000000002,0.0,1.0,-1.0,0.0,0.21400000000000002,-0.21399999999999997,92.59999999999991,-0.73,-2.0700000000000003,0.19999999999999996
Joel Alvarez,Elves Brener,2024-08-03,Red,4.0,12.699999999999989,12.700000000000017,3.0,2.0,1.0,-0.03600000000000003,1.0,-1.0,2.0,-0.267,0.6,-0.333,-267.67,0.39999999999999947,-1.23,1.2
Azamat Murzakanov,Alonzo Menifield,2024-08-03,Red,-2.0,-5.079999999999984,-12.699999999999989,-9.0,-5.0,-4.0,0.33299999999999996,3.0,-1.0,4.0,0.16700000000000004,-0.25,0.08300000000000002,257.66999999999996,0.9499999999999997,-0.010000000000000009,-0.2
Mohammad Yahya,Kaue Fernandes,2024-08-03,Blue,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6600000000000001,0.0,0.8
Shamil Gaziev,Don'Tale Mayes,2024-08-03,Red,2.0,-5.0800000000000125,-7.6200000000000045,-5.0,-3.0,-2.0,-0.07099999999999995,-1.0,1.0,-2.0,0.5,0.0,-0.5,40.0,-1.0799999999999996,0.38,0.3
Guram Kutateladze,Jordan Vucenic,2024-08-03,Red,3.0,2.539999999999992,-2.539999999999992,3.0,1.0,2.0,0.333,0.0,2.0,-2.0,0.0,0.0,1.0,848.5,3.95,0.77,0.0
Viktoriia Dudakova,Sam Hughes,2024-08-03,Blue,-7.0,0.0,7.6200000000000045,-6.0,-1.0,-5.0,0.625,2.0,-1.0,3.0,0.16699999999999998,0.0,-0.16700000000000004,-421.66999999999996,-0.8799999999999999,1.7799999999999998,0.0
Jai Herbert,Rolando Bedoya,2024-08-03,Red,9.0,5.079999999999984,7.6200000000000045,4.0,2.0,2.0,0.333,0.0,-1.0,1.0,0.5,0.0,0.5,-340.33000000000004,-4.13,0.5,0.0
Sedriques Dumas,Denis Tiuliulin,2024-08-03,Red,-7.0,2.5400000000000205,5.079999999999984,-1.0,1.0,-2.0,0.3,0.0,-2.0,2.0,-1.0,0.0,1.0,235.10000000000002,-1.46,0.3500000000000001,0.3
Leon Edwards,Belal Muhammad,2024-07-27,Blue,-2.0,7.6200000000000045,5.0800000000000125,-1.0,0.0,-1.0,0.051000000000000045,3.0,0.0,3.0,0.07100000000000001,0.0,-0.07200000000000006,168.25,-1.7099999999999995,-1.0299999999999998,0.2
Tom Aspinall,Curtis Blaydes,2024-07-27,Red,-3.0,2.5400000000000205,-5.079999999999984,-9.0,-6.0,-3.0,0.10999999999999999,1.0,0.0,1.0,0.09899999999999998,0.286,-0.385,-466.71,4.53,-2.4200000000000004,1.6
King Green,Paddy Pimblett,2024-07-27,Blue,9.0,0.0,-5.079999999999984,-1.0,-2.0,1.0,-0.25,-4.0,0.0,-4.0,0.133,-0.067,-0.067,-53.0,1.4899999999999993,0.31999999999999995,-1.8
Christian Leroy Duncan,Gregory Rodrigues,2024-07-27,Blue,-3.0,-2.539999999999992,10.159999999999997,-4.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.16700000000000004,0.0,-0.167,12.129999999999995,-0.8099999999999996,-2.43,-0.4
Arnold Allen,Giga Chikadze,2024-07-27,Red,-6.0,-10.159999999999997,-10.159999999999997,3.0,2.0,1.0,-0.05600000000000005,-1.0,2.0,-3.0,-0.175,0.2,-0.025000000000000022,-165.24,-0.46999999999999975,0.7200000000000001,0.09999999999999998
Nathaniel Wood,Daniel Pineda,2024-07-27,Red,-7.0,-2.5400000000000205,0.0,-1.0,2.0,-3.0,0.24499999999999994,0.0,0.0,0.0,-0.2,-0.37100000000000005,0.571,318.80999999999995,2.79,-0.050000000000000044,-1.0
Molly McCann,Bruna Brasil,2024-07-27,Blue,3.0,-5.079999999999984,-7.6200000000000045,9.0,6.0,3.0,0.24999999999999994,1.0,-1.0,2.0,0.286,0.143,-0.42900000000000005,-163.09000000000003,2.4499999999999997,-0.08999999999999986,0.5
Jake Hadley,Caolan Loughran,2024-07-27,Red,0.0,2.5400000000000205,5.0800000000000125,3.0,1.0,2.0,-0.09999999999999998,-1.0,2.0,-3.0,0.5,0.5,-1.0,-256.0,-1.8399999999999999,-1.67,1.1
Muhammad Mokaev,Manel Kape,2024-07-27,Red,-6.0,5.0800000000000125,5.0800000000000125,0.0,2.0,-2.0,0.33299999999999996,2.0,0.0,2.0,-0.5,0.667,-0.16699999999999998,148.33000000000004,-2.83,4.75,0.4
Oban Elliott,Preston Parsons,2024-07-27,Red,-2.0,2.539999999999992,2.539999999999992,-3.0,-1.0,-2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,168.25,0.31999999999999984,-0.8599999999999999,-2.4
Modestas Bukauskas,Marcin Prachnio,2024-07-27,Red,-6.0,0.0,10.159999999999997,-2.0,-1.0,-1.0,-0.015000000000000013,-1.0,1.0,-2.0,0.08300000000000002,0.0,-0.08299999999999996,-35.97000000000003,-2.3600000000000003,0.23,0.2
Sam Patterson,Kiefer Crosbie,2024-07-27,Red,-6.0,10.159999999999997,20.319999999999993,1.0,1.0,0.0,0.5,1.0,-1.0,2.0,0.0,1.0,0.0,-190.0,-3.6099999999999994,1.94,3.9
Mick Parkin,Lukasz Brzeski,2024-07-27,Red,-3.0,0.0,2.539999999999992,-1.0,2.0,-3.0,0.75,2.0,0.0,2.0,0.0,0.0,0.0,179.75,0.009999999999999787,1.03,-0.2
Shauna Bannon,Alice Ardelean,2024-07-27,Red,-3.0,5.079999999999984,7.6200000000000045,1.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,900.0,4.37,0.0,0.0
Amanda Lemos,Virna Jandiroba,2024-07-20,Blue,1.0,2.539999999999992,2.539999999999992,2.0,3.0,-1.0,0.17099999999999993,-2.0,0.0,-2.0,0.175,0.04999999999999999,-0.22499999999999998,-194.95999999999992,1.04,-1.3900000000000001,-0.8999999999999999
Steve Garcia,SeungWoo Choi,2024-07-20,Red,1.0,0.0,2.539999999999992,0.0,1.0,-1.0,0.16700000000000004,2.0,0.0,2.0,0.667,0.0,-0.667,-177.46999999999997,1.4900000000000002,0.41000000000000003,0.6
Kurt Holobaugh,Kaynan Kruschewsky,2024-07-20,Red,5.0,-2.539999999999992,-7.619999999999976,5.0,1.0,4.0,0.167,0.0,0.0,0.0,0.0,1.0,0.0,422.16999999999996,-1.04,-1.9800000000000002,-1.3
